x,y,episode,step,progress,speed
-0.0526,2.4843,1,163,0.819,1.176
-0.0617,2.4172,1,164,0.824,1.168
-0.0696,2.3497,1,165,0.829,1.159
-0.0765,2.2818,1,166,0.834,1.149
-0.0823,2.2135,1,167,0.839,1.138
-0.0871,2.1449,1,168,0.844,1.126
-0.0907,2.0758,1,169,0.849,1.113
-0.0932,2.0065,1,170,0.854,1.099
-0.0945,1.9368,1,171,0.859,1.084
-0.0947,1.8668,1,172,0.864,1.068
-0.0938,1.7965,1,173,0.869,1.051
-0.0918,1.726,1,174,0.874,1.033
-0.0885,1.6552,1,175,0.879,1.014
-0.0841,1.5842,1,176,0.884,0.994
-0.0785,1.5129,1,177,0.889,0.974
-0.0718,1.4415,1,178,0.894,0.952
-0.0638,1.3699,1,179,0.899,0.93
-0.0546,1.2982,1,180,0.905,0.906
-0.0443,1.2263,1,181,0.91,0.882
-0.0327,1.1544,1,182,0.915,0.857
-0.0199,1.0823,1,183,0.92,0.832
-0.0059,1.0102,1,184,0.925,0.805
0.0094,0.938,1,185,0.93,0.778
0.0258,0.8658,1,186,0.935,0.75
0.0435,0.7936,1,187,0.94,0.721
0.0625,0.7214,1,188,0.945,0.692
0.0827,0.6492,1,189,0.95,0.662
0.1041,0.5771,1,190,0.955,0.632
0.1268,0.505,1,191,0.96,0.601
0.1508,0.4331,1,192,0.965,0.569
0.1759,0.3613,1,193,0.97,0.537
0.2024,0.2896,1,194,0.975,0.505
0.2301,0.2181,1,195,0.98,0.471
0.2591,0.1468,1,196,0.985,0.438
0.2893,0.0757,1,197,0.99,0.404
0.3208,0.0048,1,198,0.995,0.37
0.3535,-0.0659,1,199,1.0,0.335
6.336,-5.5941,2,0,0.0,0.0
6.3594,-5.5848,2,1,0.005,0.042
6.3828,-5.5748,2,2,0.01,0.084
6.4061,-5.5642,2,3,0.015,0.126
6.4292,-5.5529,2,4,0.02,0.168
6.4523,-5.541,2,5,0.025,0.21
6.4752,-5.5284,2,6,0.03,0.252
6.4981,-5.5152,2,7,0.035,0.293
6.5207,-5.5013,2,8,0.04,0.334
6.5432,-5.4868,2,9,0.045,0.375
6.5655,-5.4717,2,10,0.05,0.416
6.5876,-5.4559,2,11,0.055,0.456
6.6095,-5.4395,2,12,0.06,0.496
6.6312,-5.4225,2,13,0.065,0.535
6.6526,-5.4049,2,14,0.07,0.574
6.6738,-5.3866,2,15,0.075,0.612
6.6947,-5.3677,2,16,0.08,0.649
6.7154,-5.3482,2,17,0.085,0.687
6.7357,-5.328,2,18,0.09,0.723
6.7558,-5.3073,2,19,0.095,0.759
6.7755,-5.286,2,20,0.101,0.794
6.7949,-5.264,2,21,0.106,0.828
6.8139,-5.2415,2,22,0.111,0.862
6.8326,-5.2184,2,23,0.116,0.895
6.8509,-5.1947,2,24,0.121,0.927
6.8688,-5.1704,2,25,0.126,0.958
6.8864,-5.1456,2,26,0.131,0.988
6.9035,-5.1202,2,27,0.136,1.018
6.9201,-5.0942,2,28,0.141,1.046
6.9364,-5.0677,2,29,0.146,1.074
6.9522,-5.0407,2,30,0.151,1.101
6.9675,-5.0131,2,31,0.156,1.126
6.9823,-4.985,2,32,0.161,1.151
6.9967,-4.9564,2,33,0.166,1.174
7.0106,-4.9273,2,34,0.171,1.197
7.0239,-4.8976,2,35,0.176,1.218
7.0367,-4.8675,2,36,0.181,1.238
7.049,-4.8369,2,37,0.186,1.257
7.0607,-4.8058,2,38,0.191,1.275
7.0719,-4.7743,2,39,0.196,1.292
7.0825,-4.7423,2,40,0.201,1.308
7.0925,-4.7099,2,41,0.206,1.322
7.1019,-4.677,2,42,0.211,1.336
7.1107,-4.6437,2,43,0.216,1.348
7.1189,-4.6101,2,44,0.221,1.358
7.1265,-4.576,2,45,0.226,1.368
7.1335,-4.5415,2,46,0.231,1.376
7.1397,-4.5066,2,47,0.236,1.383
7.1454,-4.4714,2,48,0.241,1.389
7.1504,-4.4358,2,49,0.246,1.394
7.1547,-4.3999,2,50,0.251,1.397
7.1583,-4.3637,2,51,0.256,1.399
7.1612,-4.3271,2,52,0.261,1.4
7.1634,-4.2902,2,53,0.266,1.399
7.1649,-4.2531,2,54,0.271,1.398
7.1657,-4.2156,2,55,0.276,1.395
7.1658,-4.178,2,56,0.281,1.39
7.1652,-4.14,2,57,0.286,1.385
7.1638,-4.1018,2,58,0.291,1.378
7.1616,-4.0634,2,59,0.296,1.37
7.1587,-4.0248,2,60,0.302,1.36
7.155,-3.986,2,61,0.307,1.35
7.1506,-3.947,2,62,0.312,1.338
7.1454,-3.9078,2,63,0.317,1.325
7.1394,-3.8685,2,64,0.322,1.311
7.1326,-3.829,2,65,0.327,1.295
7.1251,-3.7895,2,66,0.332,1.279
7.1167,-3.7498,2,67,0.337,1.261
7.1075,-3.71,2,68,0.342,1.242
7.0975,-3.6701,2,69,0.347,1.222
7.0868,-3.6302,2,70,0.352,1.201
7.0752,-3.5903,2,71,0.357,1.179
7.0627,-3.5503,2,72,0.362,1.155
7.0495,-3.5103,2,73,0.367,1.131
7.0354,-3.4702,2,74,0.372,1.106
7.0205,-3.4302,2,75,0.377,1.079
7.0048,-3.3903,2,76,0.382,1.052
6.9883,-3.3504,2,77,0.387,1.024
6.9709,-3.3105,2,78,0.392,0.994
6.9526,-3.2707,2,79,0.397,0.964
6.9336,-3.2311,2,80,0.402,0.933
6.9136,-3.1915,2,81,0.407,0.901
6.8929,-3.1521,2,82,0.412,0.869
6.8713,-3.1128,2,83,0.417,0.835
6.8489,-3.0736,2,84,0.422,0.801
6.8256,-3.0347,2,85,0.427,0.766
6.8015,-2.9959,2,86,0.432,0.73
6.7765,-2.9574,2,87,0.437,0.694
6.7507,-2.9191,2,88,0.442,0.657
6.7241,-2.881,2,89,0.447,0.619
6.6966,-2.8432,2,90,0.452,0.581
6.6683,-2.8057,2,91,0.457,0.542
6.6391,-2.7684,2,92,0.462,0.503
6.6091,-2.7315,2,93,0.467,0.464
6.5783,-2.6949,2,94,0.472,0.424
6.5467,-2.6587,2,95,0.477,0.383
6.5143,-2.6228,2,96,0.482,0.342
6.481,-2.5873,2,97,0.487,0.301
6.4469,-2.5521,2,98,0.492,0.26
6.412,-2.5174,2,99,0.497,0.218
6.3763,-2.4831,2,100,0.503,0.177
6.3398,-2.4493,2,101,0.508,0.135
6.3026,-2.4159,2,102,0.513,0.093
6.2645,-2.383,2,103,0.518,0.05
6.2256,-2.3506,2,104,0.523,0.008
6.186,-2.3187,2,105,0.528,0.034
6.1456,-2.2873,2,106,0.533,0.076
6.1044,-2.2565,2,107,0.538,0.118
6.0625,-2.2262,2,108,0.543,0.16
6.0198,-2.1965,2,109,0.548,0.202
5.9764,-2.1674,2,110,0.553,0.244
5.9323,-2.1388,2,111,0.558,0.285
5.8874,-2.1109,2,112,0.563,0.326
5.8418,-2.0837,2,113,0.568,0.367
5.7955,-2.057,2,114,0.573,0.408
5.7486,-2.0311,2,115,0.578,0.448
5.7009,-2.0058,2,116,0.583,0.488
5.6525,-1.9812,2,117,0.588,0.527
5.6035,-1.9574,2,118,0.593,0.566
5.5539,-1.9342,2,119,0.598,0.604
5.5035,-1.9118,2,120,0.603,0.642
5.4526,-1.8901,2,121,0.608,0.679
5.401,-1.8692,2,122,0.613,0.716
5.3488,-1.8491,2,123,0.618,0.752
5.296,-1.8298,2,124,0.623,0.787
5.2427,-1.8113,2,125,0.628,0.822
5.1887,-1.7936,2,126,0.633,0.855
5.1342,-1.7767,2,127,0.638,0.889
5.0791,-1.7607,2,128,0.643,0.921
5.0235,-1.7455,2,129,0.648,0.952
4.9674,-1.7313,2,130,0.653,0.983
4.9108,-1.7179,2,131,0.658,1.012
4.8536,-1.7054,2,132,0.663,1.041
4.796,-1.6938,2,133,0.668,1.069
4.7379,-1.6831,2,134,0.673,1.095
4.6794,-1.6733,2,135,0.678,1.121
4.6204,-1.6645,2,136,0.683,1.146
4.561,-1.6567,2,137,0.688,1.17
4.5012,-1.6498,2,138,0.693,1.192
4.441,-1.6439,2,139,0.698,1.214
4.3805,-1.639,2,140,0.704,1.234
4.3195,-1.635,2,141,0.709,1.254
4.2583,-1.6321,2,142,0.714,1.272
4.1967,-1.6302,2,143,0.719,1.289
4.1348,-1.6293,2,144,0.724,1.305
4.0726,-1.6295,2,145,0.729,1.32
4.0101,-1.6306,2,146,0.734,1.333
3.9474,-1.6329,2,147,0.739,1.345
3.8844,-1.6362,2,148,0.744,1.356
3.8212,-1.6405,2,149,0.749,1.366
3.7578,-1.6459,2,150,0.754,1.375
3.6942,-1.6524,2,151,0.759,1.382
3.6304,-1.66,2,152,0.764,1.388
3.5665,-1.6687,2,153,0.769,1.393
3.5025,-1.6785,2,154,0.774,1.397
3.4383,-1.6894,2,155,0.779,1.399
3.3741,-1.7014,2,156,0.784,1.4
3.3098,-1.7145,2,157,0.789,1.4
3.2454,-1.7287,2,158,0.794,1.398
3.1809,-1.7441,2,159,0.799,1.395
3.1165,-1.7606,2,160,0.804,1.391
3.0521,-1.7782,2,161,0.809,1.386
2.9876,-1.797,2,162,0.814,1.379
2.9233,-1.8169,2,163,0.819,1.371
2.859,-1.8379,2,164,0.824,1.362
2.7947,-1.8601,2,165,0.829,1.352
2.7306,-1.8834,2,166,0.834,1.34
2.6666,-1.9079,2,167,0.839,1.328
2.6027,-1.9336,2,168,0.844,1.314
2.539,-1.9604,2,169,0.849,1.299
2.4754,-1.9883,2,170,0.854,1.282
2.4121,-2.0174,2,171,0.859,1.265
2.349,-2.0477,2,172,0.864,1.246
2.2861,-2.0791,2,173,0.869,1.226
2.2235,-2.1117,2,174,0.874,1.205
2.1612,-2.1454,2,175,0.879,1.183
2.0992,-2.1803,2,176,0.884,1.16
2.0375,-2.2163,2,177,0.889,1.136
1.9761,-2.2535,2,178,0.894,1.111
1.9151,-2.2918,2,179,0.899,1.085
1.8546,-2.3313,2,180,0.905,1.057
1.7944,-2.3719,2,181,0.91,1.029
1.7346,-2.4136,2,182,0.915,1.0
1.6753,-2.4565,2,183,0.92,0.97
1.6165,-2.5005,2,184,0.925,0.939
1.5581,-2.5457,2,185,0.93,0.908
1.5003,-2.5919,2,186,0.935,0.875
1.443,-2.6393,2,187,0.94,0.842
1.3862,-2.6878,2,188,0.945,0.808
1.33,-2.7374,2,189,0.95,0.773
1.2744,-2.7881,2,190,0.955,0.737
1.2194,-2.8399,2,191,0.96,0.701
1.1651,-2.8927,2,192,0.965,0.664
1.1114,-2.9467,2,193,0.97,0.627
1.0584,-3.0017,2,194,0.975,0.589
1.0061,-3.0577,2,195,0.98,0.55
0.9544,-3.1149,2,196,0.985,0.511
0.9036,-3.173,2,197,0.99,0.471
0.8534,-3.2322,2,198,0.995,0.432
0.8041,-3.2925,2,199,1.0,0.391
0.6063,-0.5634,3,0,0.0,0.0
0.5925,-0.5423,3,1,0.005,0.048
0.578,-0.5214,3,2,0.01,0.096
0.563,-0.5007,3,3,0.015,0.145
0.5473,-0.4803,3,4,0.02,0.192
0.531,-0.46,3,5,0.025,0.24
0.5141,-0.4401,3,6,0.03,0.288
0.4966,-0.4203,3,7,0.035,0.335
0.4786,-0.4009,3,8,0.04,0.382
0.4599,-0.3818,3,9,0.045,0.429
0.4406,-0.3629,3,10,0.05,0.475
0.4207,-0.3444,3,11,0.055,0.521
0.4003,-0.3262,3,12,0.06,0.566
0.3793,-0.3084,3,13,0.065,0.611
0.3577,-0.2909,3,14,0.07,0.655
0.3356,-0.2737,3,15,0.075,0.699
0.3129,-0.257,3,16,0.08,0.742
0.2897,-0.2407,3,17,0.085,0.785
0.2659,-0.2247,3,18,0.09,0.826
0.2416,-0.2092,3,19,0.095,0.867
0.2167,-0.1941,3,20,0.101,0.907
0.1914,-0.1795,3,21,0.106,0.947
0.1655,-0.1653,3,22,0.111,0.985
0.1391,-0.1516,3,23,0.116,1.023
0.1123,-0.1384,3,24,0.121,1.059
